title,genres,types,cast,director
Knocked Up,"['Comedy', 'Romance', 'Drama']",Comedy Romance Drama alcohol one-nightstand bed pregnancyandbirth condom paternity druguse beard unprotectedsex duringcreditsstinger,"['Seth Rogen', 'Katherine Heigl', 'Leslie Mann', 'Paul Rudd', 'Jason Segel', 'Jay Baruchel', 'Jonah Hill', 'Martin Starr', 'Maude Apatow', 'Iris Apatow', 'Harold Ramis', 'Alan Tudyk', 'Kristen Wiig', 'Bill Hader', 'Craig Robinson', 'Charlyne Yi', 'Ken Jeong', 'B. J. Novak', 'Catherine Reitman', 'Brianna Brown', 'Adam Scott', 'Ana Mercedes', 'Mo Collins', 'Tim Bagley', 'Melinda Bennett', 'Paul Feig', 'Nautica Thorn', 'Stormy Daniels', 'Tami Sagher', 'Jessica Alba', 'Steve Carell', 'Andy Dick', 'James Franco', 'Eva Mendes', 'Ryan Seacrest', 'Dax Shepard', 'Michelle Woods']",Judd Apatow
My Sister's Keeper,['Drama'],Drama parentskidsrelationship sistersisterrelationship courtcase invitrofertilisation medicalexaminer kidneytransplant,"['Cameron Diaz', 'Alec Baldwin', 'Abigail Breslin', 'Joan Cusack', 'Sofia Vassilieva', 'Emily Deschanel', 'Heather Wahlquist', 'Jason Patric', 'Evan Ellingson', 'Frank Cassavetes', 'Nicole Marie Lenz', 'Chris Kinkade', 'Rick Salomon', 'Frank Peluso', 'Rico Simonini', 'Keith Kraft']",Nick Cassavetes
Welcome Home Roscoe Jenkins,"['Comedy', 'Drama']",Comedy Drama talkshow,"['Martin Lawrence', 'James Earl Jones', 'Margaret Avery', 'Joy Bryant', 'Cedric the Entertainer', 'Nicole Ari Parker', 'Michael Clarke Duncan', 'Mike Epps', ""Mo'Nique"", 'Damani Roberts', 'Brooke Lyons', 'Damani Roberts']",Malcolm D. Lee
A Passage to India,"['Drama', 'Adventure', 'History']",Drama Adventure History doctor india english magistrate 1920s mosque,"['Judy Davis', 'Alec Guinness', 'Peggy Ashcroft', 'James Fox', 'Victor Banerjee', 'Nigel Havers', 'Michael Culver']",David Lean
Notes on a Scandal,"['Drama', 'Romance']",Drama Romance sex adultery basedonnovel cat infidelity secret obsession blackmail nudity seduction studio friendship stalker love loneliness teacher conservative student teenager relationship art femalestalker extramaritalaffair journal sittingonatoilet,"['Judi Dench', 'Cate Blanchett', 'Bill Nighy', 'Juno Temple', 'Max Lewis', 'Andrew Simpson', 'Michael Maloney', 'Joanna Scanlan', 'Shaun Parkes', 'Emma Kennedy', 'Syreeta Kumar', 'Wendy Nottingham', 'Jill Baker', 'Alice Bird', 'Benedict Taylor', 'Stephen Kennedy', 'Derbhle Crotty', 'Anne-Marie Duff', 'Phil Davis', 'Julia McKenzie', 'Adrian Scarborough', 'Jill Baker', 'Miranda Pleasence']",Richard Eyre
Rendition,"['Drama', 'Thriller']",Drama Thriller antiterror terror cia lossofson policebrutality terrorist lossofbrother waragainstterror kidnapping intelligence despair inhumanity senator plo civilrightsactivist hijacking terrorcell lossofhusband politics politician government lossofdaughter torturebythepolice torture cruelty american surveillance,"['Omar Metwally', 'Reese Witherspoon', 'Jake Gyllenhaal', 'Moa Khouas', 'Zineb Oukach', 'Igal Naor', 'Laila Mrabti', 'David Fabrizio', 'J.K. Simmons', 'Meryl Streep', 'Peter Sarsgaard', 'Alan Arkin', 'Najib Oudghiri', 'Craig Johnson', 'Reymonde Amsallem']",Gavin Hood
Star Trek VI: The Undiscovered Country,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",ScienceFiction Action Adventure Thriller farewell federation starfleet peaceconference ussenterprise-a rurapenthe courtcase peacecontract plan klingon spaceopera,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan', 'George Takei', 'Walter Koenig', 'Nichelle Nichols', 'Christopher Plummer', 'Kim Cattrall', 'David Warner', 'Rosanna DeSoto', 'Brock Peters', 'Kurtwood Smith', 'Iman', 'Mark Lenard', 'Grace Lee Whitney', 'Leon Russom', 'John Schuck', 'Paul Rossilli', 'Robert Easton', 'Michael Dorn', 'Christian Slater', 'Jeremy Roberts', 'Darryl Henriques']",Nicholas Meyer
Divine Secrets of the Ya-Ya Sisterhood,"['Comedy', 'Drama', 'Romance']",Comedy Drama Romance secretsociety conciliation marriage motherdaughterrelationship playwright familyfeud womandirector,"['Sandra Bullock', 'Ellen Burstyn', 'Fionnula Flanagan', 'James Garner', 'Cherry Jones', 'Ashley Judd', 'Maggie Smith', 'Shirley Knight', 'Angus Macfadyen', 'Jacqueline McKenzie', 'Kiersten Warren', 'David Lee Smith', 'Gina McKee', 'Matthew Settle']",Callie Khouri
Kiss the Girls,"['Drama', 'Mystery', 'Thriller', 'Crime']",Drama Mystery Thriller Crime washingtond.c. coveredinvestigation investigation northcarolina missingperson,"['Morgan Freeman', 'Ashley Judd', 'Cary Elwes', 'Alex McArthur', 'Tony Goldwyn', 'Jay O. Sanders', 'Bill Nunn', 'Brian Cox', 'Richard T. Jones', 'Roma Maffia', 'Jeremy Piven', 'Gina Ravera', 'William Converse-Roberts', 'Helen Martin', 'Tatyana Ali', 'Mena Suvari', 'Heidi Schanz', 'Rick Warner']",Gary Fleder
The Blues Brothers,"['Music', 'Comedy', 'Action', 'Crime']",Music Comedy Action Crime dancing prison chicago countrymusic nun jazz carjourney blues nazis music concert musicinstrument children'shome shoppingmall orphanage winnebago church sunglasses parole carchase musicband loudspeaker saturdaynightlive wrigleyfield holidayinn,"['Dan Aykroyd', 'John Belushi', 'James Brown', 'Cab Calloway', 'Ray Charles', 'Aretha Franklin', 'Steve Cropper', 'Donald ""Duck"" Dunn', 'Murphy Dunne', 'Willie Hall', 'Tom Malone', 'Lou Marini', 'Matt Murphy', 'Alan Rubin', 'Carrie Fisher', 'Henry Gibson', 'John Candy', 'Kathleen Freeman', 'John Lee Hooker', 'Tom Erhart', 'Gerald Walling', 'Walter Levine', 'Alonzo Atkins', 'Chaka Khan', 'Armand Cerami', 'Steven Williams', 'Kristi Oleson', 'Gary McLarty', 'Joe Cuttone', 'Layne Britton', 'Toni Fleming', 'Rosie Shuster', 'Paul Reubens', 'Ben Piazza', 'Gwen Banta', 'Lari Taylor', 'Cindy Fisher', 'Elizabeth Hoy', 'Tony M. Conde', 'Eugene J. Anthony', 'Dean Hill', 'Jack Orend', 'Gene Schuldt', 'Charles Mountain', 'Frank Oz', 'John Landis', 'Gary Houston', 'Judith Belushi-Pisano', 'Elmore James', 'Stephen Bishop', 'Charles Napier', 'Steven Spielberg', 'Curt Clendenin', 'Twiggy']",John Landis
The Sisterhood of the Traveling Pants 2,"['Adventure', 'Comedy', 'Drama', 'Family']",Adventure Comedy Drama Family femalefriendship bestfriend summervacation womandirector youngadult,"['Alexis Bledel', 'Amber Tamblyn', 'America Ferrera', 'Blake Lively', 'Rachel Nichols', 'Tom Wisdom', 'Michael Rady', 'Leonardo Nam', 'Rachel Ticotin', 'Shohreh Aghdashloo', 'Blythe Danner', 'Jesse Williams', 'Lucy Hale', 'Ernie Lively', 'Kyle MacLachlan', 'Carly Rose Sonenclar', 'Cory Nichols', 'Maria Konstadarou', 'Stevie Ray Dallimore', 'Zacharoula Klimatsaki', 'Rebekah Aramini', 'Paul Coughlan', 'Alison Folland', 'Adrienne Bailon', 'Kiely Williams']",Sanaa Hamri
Joyful Noise,"['Comedy', 'Music']",Comedy Music ,"['Queen Latifah', 'Dolly Parton', 'Keke Palmer', 'Jeremy Jordan', 'Courtney B. Vance', 'Kris Kristofferson', 'Dexter Darden', 'Jesse L. Martin', 'Shameik Moore', 'Angela Grovey', 'Kate Kneeland']",Todd Graff
About a Boy,"['Drama', 'Comedy', 'Romance']",Drama Comedy Romance londonengland rockandroll singleparent rapmusic bachelor becominganadult friendship single,"['Hugh Grant', 'Nicholas Hoult', 'Toni Collette', 'Rachel Weisz', 'Sharon Small', 'Madison Cook', 'Jordan Cook', 'Nicholas Hutchison', 'Ryan Speechley', 'Joseph Speechley', 'Denise Stephenson', 'Natalia Tena', 'Christopher Webster', 'Isabel Brook', 'Orlando Thor Newman', 'Augustus Prew', 'Victoria Smurfit', 'Paulette P. Williams', 'Susannah Doyle', 'Fritha Goodey', 'Delma Walsh', 'Peter Roy', 'Rosalind Knight', 'Sian Martin', 'Joanne Petitt', 'Cathy Murphy', 'Mark Heap', 'Claire Harman', 'Jason Salkey', 'Annabelle Apsion', 'Russell Barr', 'Jenny Galloway', 'Alex Kew']",Chris Weitz
Lake Placid,"['Horror', 'Comedy', 'Action', 'Science Fiction', 'Thriller']",Horror Comedy Action ScienceFiction Thriller diving sheriff lake crocodile deputy paleontologist cow maine decapitation severedhead scientist remote tooth bearattack campfire severedtoe torsocutinhalf giantcrocodile crocodileattack animalhorror,"['Bill Pullman', 'Bridget Fonda', 'Oliver Platt', 'Brendan Gleeson', 'Betty White', 'David Lewis', 'Tim Dixon', 'Natassia Malthe', 'Mariska Hargitay', 'Meredith Salenger', 'Jed Rees', 'Richard Leacock', 'Jake T. Roberts', 'Warren Takeuchi', 'Ty Olsson', 'Adam Arkin', 'Steve Miner']",Steve Miner
Lucky Number Slevin,"['Drama', 'Thriller', 'Crime', 'Mystery']",Drama Thriller Crime Mystery assassination assassin identity sniper mistakeinperson jew gangsterboss gamblingdebts boss murder sniperrifle fbiagent horseracing gambler slevin caso hoodlum blackmen,"['Josh Hartnett', 'Bruce Willis', 'Lucy Liu', 'Morgan Freeman', 'Ben Kingsley', 'Michael Rubenfeld', 'Peter Outerbridge', 'Stanley Tucci', 'Kevin Chamberlin', 'Dorian Missick', 'Mykelti Williamson', 'Scott Gibson', 'Corey Stoll', 'Robert Forster', 'Sam Jaeger', 'Danny Aiello', 'Jennifer Miller']",Paul McGuigan
The Right Stuff,"['Drama', 'History']",Drama History coldwar pilot spacetravel politics historicalfigure flight astronaut spacerace soundbarrier,"['Fred Ward', 'Dennis Quaid', 'Ed Harris', 'Scott Glenn', 'Sam Shepard', 'Barbara Hershey', 'Lance Henriksen', 'Veronica Cartwright', 'Harry Shearer', 'Jeff Goldblum', 'Kim Stanley', 'Pamela Reed', 'Scott Paulin', 'Charles Frank', 'Donald Moffat', 'Levon Helm', 'Mary Jo Deschanel', 'Scott Wilson', 'Kathy Baker', 'Mickey Crocker', 'Susan Kase', 'Mittie Smith', 'Royal Dano', 'David Clennon', 'Jim Haynie', 'Anthony Munoz', 'John P. Ryan', 'William Russ', 'Mary Apick', 'John Dehner', 'David Gulpilil', 'O-Lan Jones', 'Chuck Yeager']",Philip Kaufman
Anonymous,"['Drama', 'History', 'Thriller']",Drama History Thriller shakespeare anonymity poet play political duringcreditsstinger falsehistory,"['Jamie Campbell Bower', 'Rhys Ifans', 'David Thewlis', 'Joely Richardson', 'Vanessa Redgrave', 'Sebastian Armesto', 'Rafe Spall', 'Edward Hogg', 'Xavier Samuel', 'Sam Reid', 'Paolo De Vita', 'Trystan Gravelle', 'Robert Emms', 'Tony Way', 'Julian Bleach', 'Derek Jacobi', 'Alex Hassell', 'James Garnon', 'Mark Rylance', 'Jasper Britton', 'Ned Dennehy', 'John Keogh', 'Lloyd Hutchinson', 'Vicky Krieps', 'Helen Baxendale', 'Paula Schramm', 'Amy Kwolek', 'Luke Thomas Taylor', 'Isaiah Michalski', 'Timo Huber', 'Richard Durden', 'Shaun Lawton', 'Detlef Bothe', 'James Clyde', 'Christian Sengewald', 'Jean-Loup Fourure', 'Victoria Gabrysch', 'Axel Sichrovsky', 'Katrin Pollitt', 'Patricia Grove', 'Laura Lo Zito', 'Gode Benedix', 'Nic Romm', 'Henry Lloyd-Hughes', 'Patrick Diemling', 'Patrick Heyn', 'Nino Sandow', 'Craig Salisbury', 'Rainer Guldener', 'Trystan Pütter', 'André Kaczmarczyk', 'Jonas Hämmerle', 'Mike Maas', 'Christian Leonard', 'Christian Banzhaf', 'Victoria Calero', 'Martin Engler', 'Alfred Hartung', 'Oliver Kube', 'Christian Ludwig', 'Oliver Rickenbacher', 'Claudius von Stolzmann', 'Tjafke Biallowons', 'Dafne-Maria Fielder', 'Alexander Flache', 'Antonia Gerke', 'Sophie Hichert', 'Lukas Hötzel', 'Vera Kreyer', 'Stefanie Lanius', 'Urban Luig', 'Jasmin Mehling', 'Elisabeth Milarch', 'Robert Munzinger', 'Benjamin Plath', 'Erik Studte', 'Johann Hakob Wurster', 'Steffi Sattler']",Roland Emmerich
The NeverEnding Story,"['Drama', 'Family', 'Fantasy', 'Adventure']",Drama Family Fantasy Adventure basedonnovel fictionalplace wolf mythology magic horse book fairytale bully school talkinganimal reading bookstore fantasyworld giant gnome quest,"['Barret Oliver', 'Gerald McRaney', 'Noah Hathaway', 'Drum Garrett', 'Darryl Cooksey', 'Nicholas Gilbert', 'Thomas Hill', 'Frank Lenart', 'Silvia Seidel', 'Tami Stronach', 'Sydney Bromley', 'Moses Gunn', 'Patricia Hayes', 'Alan Oppenheimer', 'Tilo Prückner', 'Heinz Reincke', 'Deep Roy']",Wolfgang Petersen
Dark City,"['Mystery', 'Science Fiction']",Mystery ScienceFiction soul sleep manipulation future dystopia chaos memory duel parallelworld technoir matrix neo-noir retrofuturism,"['Rufus Sewell', 'William Hurt', 'Kiefer Sutherland', 'Jennifer Connelly', ""Richard O'Brien"", 'Ian Richardson', 'Bruce Spence', 'Colin Friels', 'John Bluthal', 'Mitchell Butel', 'Melissa George', 'Frank Gallacher', 'Ritchie Singer', 'Justin Monjo', 'Nicholas Bell', 'Satya Gumbert', 'Noah Gumbert', 'Frederick Miragliotta']",Alex Proyas
The Duchess,"['Drama', 'History', 'Romance']",Drama History Romance england adultery duke gamblingdebts marriagecrisis,"['Keira Knightley', 'Ralph Fiennes', 'Aidan McArdle', 'Simon McBurney', 'Charlotte Rampling', 'Dominic Cooper', 'Hayley Atwell', 'Bruce Mackinnon', 'Georgia King', 'Alistair Petrie', 'Patrick Godfrey', 'Richard McCabe', 'Andrew Armour']",Saul Dibb
Return to Oz,"['Adventure', 'Family', 'Fantasy']",Adventure Family Fantasy wizardofoz,"['Fairuza Balk', 'Nicol Williamson', 'Jean Marsh', 'Piper Laurie', 'Matt Clark', 'Sean Barrett', 'Denise Bryer', 'Brian Henson', 'Lyle Conway', 'Justin Case', 'John Alexander', 'Deep Roy', 'Emma Ridley']",Walter Murch
The Newton Boys,"['Crime', 'Action', 'Drama']",Crime Action Drama bankrobber crimespree westernu.s.,"['Matthew McConaughey', 'Skeet Ulrich', 'Ethan Hawke', ""Vincent D'Onofrio"", 'Gail Cronauer', 'Jena Karam', 'Julianna Margulies', 'Casey McAuliffe', 'Dwight Yoakam', 'Charles Gunning', 'Regina Mae Matthews', 'Becket Gremmels', 'Lew Temple', 'Glynn Williams', ""Charles 'Chip' Bray"", 'Ken Farmer']",Richard Linklater
Case 39,"['Horror', 'Mystery', 'Thriller']",Horror Mystery Thriller childabuse detective socialworker supernatural murder mentalinstitution youth violence danger cityscape drawn fallingelevator pier psychological deadly mindandsoul supernaturalability,"['Renée Zellweger', 'Jodelle Ferland', 'Ian McShane', ""Kerry O'Malley"", 'Callum Keith Rennie', 'Bradley Cooper', 'Adrian Lester', 'Cynthia Stevenson', 'Alexander Conti', 'Philip Cabrita', 'Vanesa Tomasino', 'Mary Black', ""Domenico D'Ambrosio"", 'Benita Ha', 'J. Winston Carroll', 'Michael Bean', 'Lesley Ewen', 'David Patrick Green', 'Dee Jay Jackson', 'Taya Calicetto', 'Alisen Down', 'Darryl Quon', 'Suzanne Bastien', 'Jane Braithwaite', 'Colin Lawrence', 'Fran Gebhard', 'Dagmar Midcap', 'Bill Mondy', 'Andrew Airlie', 'Sarah-Jane Redmond', 'Charles Zuckermann', 'Yvonne Valdez', 'Paul Duchart', 'Daniel Bacon', 'Darren E. Scott', 'Dalias Blake', 'Phillip Mitchell', 'Fulvio Cecere']",Christian Alvart
Suspect Zero,"['Crime', 'Thriller']",Crime Thriller serialkiller,"['Carrie-Anne Moss', 'Aaron Eckhart', 'Ben Kingsley', 'Harry Lennix', 'Kevin Chamberlin', 'Keith Campbell']",E. Elias Merhige
Martian Child,['Drama'],Drama underdog adoption education adoptivefather childhoodtrauma alienation alien,"['John Cusack', 'Bobby Coleman', 'Amanda Peet', 'Joan Cusack', 'Oliver Platt', 'Richard Schiff', 'Sophie Okonedo', 'Anjelica Huston', 'Taya Calicetto', 'Zak Ludwig']",Menno Meyjes
Spy Kids: All the Time in the World,"['Family', 'Comedy', 'Action']",Family Comedy Action spy childhero secretagent espionage,"['Jessica Alba', 'Mason Cook', 'Rowan Blanchard', 'Joel McHale', 'Jeremy Piven', 'Alexa PenaVega', 'Daryl Sabara', 'Ricky Gervais', 'Danny Trejo', 'Antonio Banderas', 'Marci Madison']",Robert Rodriguez
Money Monster,['Thriller'],Thriller bomb sniper tvshow hostagedrama police hostage-taking newyorkcity stockmarket stockfraud womandirector tvstudio,"['George Clooney', 'Julia Roberts', ""Jack O'Connell"", 'Caitriona Balfe', 'Dominic West', 'Lenny Venito', 'Giancarlo Esposito', 'Christopher Denham', 'Condola Rashad', 'Emily Meade', 'Chris Bauer', 'Dennis Boutsikaris', 'Olivia Luccardi', 'Aaron Yoo', 'Grant Rosenmeyer', 'Greta Lee', 'Cenk Uygur', 'Carsey Walker Jr.', 'Jim Warden', 'Joseph D. Reitman', 'Grizz Chapman', 'Robert C. Kirk', 'Genevieve Adams', 'Daoud Heidami', 'Anthony DeSando', 'Ivan Martin', 'John Ventimiglia', 'Dominic Colón', 'Chad Jennings', 'Cliff Moylan', 'Brian Edwards', 'Jimmy Gary Jr.', 'Frantzy Orisma', 'Charlie Thurston', 'Patricia Dunnock', 'Sahr Ngaujah', 'Vernon Campbell', 'Daniel K. Isaac', 'Darri Ingolfsson', 'Makhaola Ndebele', 'Jamar Greene', 'Rob Falcone', 'Bobby Kruger', 'David Healy', 'Matt Walton', 'Pun Bandhu', 'Jake Choi', 'Nick Boraine', 'Jeff Witzke', 'Bryan Burton', 'Frank Pando', 'Shauna Mitchell', 'Pat Kiernan']",Jodie Foster
The 51st State,"['Thriller', 'Action', 'Comedy', 'Crime']",Thriller Action Comedy Crime chemical laxative skinheads,"['Samuel L. Jackson', 'Robert Carlyle', 'Emily Mortimer', 'Meat Loaf', 'Rhys Ifans', 'Sean Pertwee', 'Ricky Tomlinson', 'Michael Starke', 'Anna Keaveney', 'Paul Barber', 'Stephen Walters', 'Nigel Whitmey', 'Mac McDonald', 'Michael J. Reynolds', 'Junix Inocian', 'Jake Abraham', 'Aaron Swartz', 'David Webber', 'Nick Bartlett', 'Angus MacInnes', 'Robert Fyfe', 'Robert Jezek', 'Joan Campion', ""Terry O'Neill"", 'Marc Anwar', 'Paul Broughton']",Ronny Yu
Flawless,"['Comedy', 'Drama']",Comedy Drama independentfilm,"['Robert De Niro', 'Philip Seymour Hoffman', 'Barry Miller', 'Chris Bauer', 'Skipp Sudduth']",Joel Schumacher
Mindhunters,"['Mystery', 'Thriller', 'Crime']",Mystery Thriller Crime fbi island serialkiller seriesofmurders,"['LL Cool J', 'Jonny Lee Miller', 'Kathryn Morris', 'Patricia Velásquez', 'Clifton Collins Jr', 'Eion Bailey', 'Will Kemp', 'Val Kilmer', 'Christian Slater', 'Cassandra Bell', 'Daniël Boissevain', 'Antonie Kamerling', 'Jasmine Sendar', 'Trevor White']",Renny Harlin
What Just Happened,"['Comedy', 'Drama']",Comedy Drama filmproducer midlifecrisis independentfilm divorce,"['Bruce Willis', 'Robert De Niro', 'Sean Penn', 'Robin Wright', 'Stanley Tucci', 'John Turturro', 'Kristen Stewart', 'Lily Rabe', 'Marin Hinkle', 'Catherine Keener', 'Michael Wincott', 'Jason Kravits', 'Mark Ivanir', 'Remy K. Selma', 'Christopher Evan Welch', 'Sam Levinson']",Barry Levinson
The Statement,"['Drama', 'Thriller']",Drama Thriller ,"['Michael Caine', 'Tilda Swinton', 'Jeremy Northam', 'Alan Bates', 'Charlotte Rampling', 'John Neville', 'Ciarán Hinds', 'Frank Finlay', 'William Hutt', 'Matt Craven', 'Noam Jenkins']",Norman Jewison
The Magic Flute,"['Comedy', 'Drama', 'Music']",Comedy Drama Music fictionalplace opera musical,"['Joseph Kaiser', 'Amy Carson', 'René Pape', 'Lyubov Petrova', 'Benjamin Jay Davis', 'Silvia Moi', 'Tom Randle', 'Jimmy Yuill', 'Michelle Whitney', 'Christopher Stone']",Kenneth Branagh
Paul Blart: Mall Cop,"['Action', 'Adventure', 'Comedy', 'Family']",Action Adventure Comedy Family securityguard duringcreditsstinger,"['Kevin James', ""Keir O'Donnell"", 'Jayma Mays', 'Raini Rodriguez', 'Shirley Knight', 'Stephen Rannazzisi', 'Peter Gerety', 'Bobby Cannavale', 'Adam Ferrara', 'Jamal Mixon', 'Adhir Kalyan', 'Erick Avari', 'Gary Valentine', 'Allen Covert', 'Mike Vallely', 'Mike Escamilla', 'Jason Ellis', 'Jason Packham', 'Rick Thorne', 'Victor T. Lopez', 'Natascha Hopkins', 'Jackie Sandler', 'Mookie Barker', 'Jackie Flynn', 'Richie Minervini', 'Brie Hill Arbaugh', 'Steffiana De La Cruz', 'Dylan Clark Marshall', 'Bernie McInerney', 'Tyler Spindel', 'Bas Rutten', 'Teresa Zantua', 'Dahlia Salem', 'Zele Avradopoulos', 'Maria Arcé', 'Robert Harvey', 'Billy Concha', 'Michael Burton', 'Carl Randall', 'Carla Antonino', 'Ruby Wendell', 'Lindsay MacDonald', 'Donna Glee Reim', 'Cindi Alex', 'Dale F. Appel', 'Joel Arsenault', 'Stephanie Atkinson', 'Amber Baldinelli', 'Ellen Becker-Gray', 'William Bornkessel', 'Brian Bradbury', 'Jodie Brunelle', 'Mike Burton', 'Katelyn Cahill', 'Patrick Canty', 'Gio Castellano', 'Chemi Che-Mponda', 'Desiree April Connolly', 'Jeffrey Corazzini', 'D.W. Cormier', 'Benjamin Crocker', 'Diane Curran', 'Nicholas Davis', 'Kevin DeCoste', 'Michael DeMello', 'Hannah Depew', 'Vincent J. Earnshaw', 'Suzanne England', 'Susan Farese', 'Keith Fluker', 'Shawn Fogarty', 'Andy Forgit', 'Victor Franko', 'Sari Gagnon', 'David J. Garfield', 'Suzanne Gillies', 'Albert Gornie', 'Rob W. Gray', 'Dane Grigas', 'Sophya Gudelman', 'Teresa Haney', 'Cody Harter', 'Patrick Mel Hayes', 'Matt Heron-Duranti', 'Mark Hetherington', 'Louis Holmes', 'Frankie Imbergamo', 'Haytham Kandil', 'Ren Knopf', ""Lynn L'Heureux"", 'Dan Marshall', 'Andrew J McGuinness', 'Todd Mello', 'Jason Mulcahy', 'Ron Murphy', 'Scott Neufville', 'Chris Palermo', 'Aaron J. Patton', 'Alan Resnic', 'Brieann Rich', 'Michael Rich', 'Nicholas Rich', 'Bradley Robinson', 'Jessica Rockwood', 'Gary Roscoe', 'Eric Ryan', 'Jonathan Sawicki', 'Steve Scarfo', 'Cate Smit', 'Gustin Smith', 'Ylian Alfaro Snyder', 'Jon Robert Stafford', 'Vyvian B. Stevens', 'Stream', 'David Struffolino', 'George J. Vezina', 'Donald Warnock', 'Jon Warnock', 'Mike Wendt', 'G.A. West', 'Kent R. Williams', 'Darryl Wooten']",Steve Carr
Freaky Friday,['Comedy'],Comedy singleparent brothersisterrelationship mistakeinperson bride talkshow bodyexchange motherlylove highschool motherdaughterrelationship wedding psychiatrist body-swap musicband teencomedy childasanadult adultasachild,"['Jamie Lee Curtis', 'Lindsay Lohan', 'Mark Harmon', 'Harold Gould', 'Haley Hudson', 'Chad Michael Murray', 'Dina Spybey-Waters', 'Stephen Tobolowsky', 'Christina Vidal', 'Ryan Malgarini', 'Rosalind Chao', 'Lucille Soong', 'Willie Garson', 'Julie Gonzalo', 'Christina Marie Walter', 'Lu Elrod', 'Heather Hach', 'Lorna Scott', 'Chris Carlberg', 'Danny Rubin', 'Hayden Tank', 'Cayden Boyd', 'Marc McClure', 'Chris Heuisler', 'Jeffrey Marcus', 'Jacqueline Heinze', 'Mary Ellen Trainor', 'Erica Gimpel', 'William Caploe', 'Daniel Raymont', 'Veronica Brooks', 'Lee Burns', 'Amir Derakh', 'Zoe Waters']",Mark Waters
The 40 Year Old Virgin,"['Comedy', 'Romance']",Comedy Romance firsttime virgin,"['Steve Carell', 'Catherine Keener', 'Paul Rudd', 'Romany Malco', 'Seth Rogen', 'Jane Lynch', 'Leslie Mann', 'Elizabeth Banks', 'Kat Dennings', 'Mindy Kaling', 'Marilyn Dodds Frank', 'Gerry Bednob', 'Shelley Malil', 'Jordan Masterson', 'Chelsea Smith', 'Erica Vittina Phillips', 'Marika Dominczyk', 'Mo Collins', 'Lee Weaver', 'Stormy Daniels', 'Kevin Hart', 'Jonah Hill', 'Gillian Vigman', 'Kimberly Page', 'Siena Goines', 'Charlie Hartsock', 'Nancy Carell', 'Cedric Yarbrough', 'David Koechner', 'Jeff Kahn', 'Nick Lashaway', 'Loren Berman', 'Miki Mia', 'Jazzmun', 'Shannon Bradley', 'Brianna Brown', 'Liz Carey', 'Elizabeth DeCicco', 'Hilary Shepard', 'Barret Swatek', 'Carla Gallo', 'Michael Bierman', 'Marisa Guterman', 'Wayne Federman', 'Ron Marasco', 'Kate Luyben', 'Joe Nunez', 'Rose Abdoo', 'Steve Bannos', 'Brooke Hamlin', 'Miyoko Shimosawa', 'Ann Christine', 'Brandon Killham', 'Nicole Randall Johnson', 'Suzy Nakamura', 'Jenna Fischer', 'Stephanie Lemelin', 'Jamie Elle Mann', 'Leah McCormick', 'Samantha J. Reese', 'Brittney Skye', 'Phyllis Smith', 'Christopher T. Wood', 'Wyatt Smith', 'Kira Turnage', 'Penny Vital', 'Christa Nicole Wells']",Judd Apatow
Shakespeare in Love,"['Romance', 'History']",Romance History shakespeare loveofone'slife oscaraward theatreplay theatregroup writer'sblock theatremilieu author speculative falsehistory,"['Joseph Fiennes', 'Gwyneth Paltrow', 'Geoffrey Rush', 'Tom Wilkinson', 'Judi Dench', 'Imelda Staunton', 'Colin Firth', 'Ben Affleck', 'Simon Callow', 'Steven Beard', 'Jim Carter', 'Rupert Everett', 'Martin Clunes', 'Tim McMullan', 'Joe Roberts']",John Madden
A Walk Among the Tombstones,"['Crime', 'Drama', 'Mystery', 'Thriller']",Crime Drama Mystery Thriller basedonnovel murder mafia privateinvestigator newyorkcity alcoholic kingpin wifemurder mattscudder,"['Liam Neeson', 'Dan Stevens', 'David Harbour', 'Boyd Holbrook', 'Adam David Thompson', 'Razane Jammal', 'Astro', 'Ólafur Darri Ólafsson', 'Marina Squerciati', 'Sebastian Roché', 'Mark Consuelos', 'Whitney Able', 'Maurice Compte', 'Marielle Heller', 'Annika Peterson', 'Frank De Julio', 'Laura Birn', 'Toshiko Onizawa', 'Patrick McDade', 'Luciano Acuna Jr.', 'Hans Marrero', 'Kim Rosen', 'Eric Nelsen', 'Jon Goracy', 'Stephanie Andujar', 'Al Nazemian', 'Sophia Frank', 'Susham Bedi', 'Purva Bedi', 'Novella Nelson', 'Natia Dune', 'Genevieve Adams', 'Liana De Laurent', 'Danielle Rose Russell', 'David Anzuelo', 'Samuel Mercedes', 'Mike Figueroa', 'Mike Carlsen', 'Leon Addison Brown', 'Damion Lee', 'Jolly Abraham', 'Nina Polan', 'Briana Marin', 'Arthur Gerunda', 'Fabrizio Brienza', 'Dennis Jay Funny', 'Chinasa Ogbuagu', 'Louise G. Colón']",Scott Frank
